Consumer_complaint,Product,Sentiment,Priority
"I had overdraft protection with Regions Bank in XXXX, Alabama on my checking account. However, instead of waiting to get the overdraft from my Social Security Check that come in every month. They took the overdraft from my grandchildren savings so it would n't net interest. So, I took my grandchildren money out of Regions Bank. They retaliated by closing both of my checking accounts without notice. Therefore, I could n't receive my Social Security check for the entire month of XX/XX/XXXX with put a great hardship on my me and my family.",Checking or savings account or service,0,1
"I am the sole, legal representative of my deceased mother 's estate. My mother died on XX/XX/XXXX. I submitted a death certificate, XXXX, a copy of her WILL, and all of the XXXX XXXX XXXX XXXX 's documentation that the WILL had been properly probated and is closed. I am also the co-owner on her checking account. The branch lost my paperwork. I resubmitted paperwork on XX/XX/XXXX to Regions Bank, XXXX XXXX XXXX XXXX, XXXX, GA XXXX. The branch refuses to release funds or change the name legally on my account and has illegally locked my account. Instead of acknowledging their mistakes, they are requiring me to reopen the estate, despite having a all legal documentation. This bank has done nothing to resolve the issue. I am afraid this could happen to other consumers.",Checking or savings account or service,0,1
"This bank has consistantly manipulated my direct deposits in order to charge fees. I have an online XXXX shop with direct deposits which can have deposits one to five times a week depending on sales. All deposits are submitted to bank between XXXX XXXX and XXXX XXXX and I am sent an email stating funds have been sent to bank in addition to the money shown on the funding page of my site showing when they remove from my shop account and send to bank. 
When I have suffecient funds already in bank, when there would be no way to manipulate deposits and charges, checks etc Chase will deposit these direct deposits prior to any other charges EVERY TIME My bank history shows this to be consistant but when I am going to be short for a charge if the deposit is not deposited first THEY HAVE BEEN CONSISTANTLY CHARGING ME FOR ANY CHECKS OR WITHDRAWLS PRIOR TO MY DIRECT DEPOSIT. And ONLY when they can be sure to charge me a fee if they do not deposit first. Case in point is a fee I acquired on XX/XX/2019. I had apx {$95.00} available that morning. I got my confirmation from my XXXX account that funds where sent to bank at XXXX XXXXm. I had a check written to the XXXX XXXX XXXXXXXX for utilities for {$120.00} in which I know was not deposited until after XXXX to our town of apx 300 people at the small local bank. 
I check at apx XXXX XXXX  on XX/XX/XXXX and there is no withdrawl but the deposit was shown as pending. I check again at apx XXXX this XXXX and Chase has taken the check and processed it first and the direct deposit after!! AGAIN!! But both where showing as processed. I once again, I have to do this time to time I live on SSI and my income is low and so I live hand to mouth and pray I sell something on XXXX to eat all month. I wrote them and told them to STOP CHEATING ME and manipulating. The refused to refund charge. In addition they have now moved the direct deposit not only behind check and the service fee of {$34.00} but it is now showing as pending again along with another direct deposit that was processed on XX/XX/2019 at XXXX : XXXX But I can go back, month after month, for two years and every time I have sufficient funds and there is no way to charge me a fee, my direct deposits from XXXX are processed prior to any other charges!!! 
This is something Chase was sued for. It is unethical and maybe not illegal maybe it is. They should not have the ability to process a deposit however they want, when they want in order to charge fees. If they deposit the direct deposit prior to charges 99 percent of time but yet don't only if they can XXXX me that is deceptive practice. I should be able to count on the fact that my direct deposits will ALWAYS BE DEPOSITED THE SAME WHICH IS PRIOR TO CHARGES not be screwed by this corrupt institution. 
I want my fee returned and I want this bank to be told they can not do whatever the XXXX they want when they want to XXXX consumers. 
I have been getting these direct deposits over 2-3 yrs now on a weekly if not daily basis. This account is established and there is no reason for them to pend the amount only in order to charge a fee but not to pend it when they can not. 
Please help. 
I have over a thousand emails showing when my direct deposits are sent to bank but I don't know how to upload and save these or to attach them below. I am in my mid 60s and not very literate on computers or social media etc. I also have years worth of bank  statements online or daily records for at least several months in which you can see that when I have funds available and that there would be no way to XXXX a fee from me, they have ALWAYS deposited the XXXX direct prior to charges and that the only time this is not done is when I am short a few dollars here or there and depend on my direct deposit to be processed as it is all the other times, first before withdrawls. yet they don't and charge me fees. I can prove this over and over.",Checking or savings account or service,0,0
"I enrolled in a Citibank checking account in XXXX 2016 using a promotional code that offered me XXXX XXXX XXXX miles upon opening a certain type of checking account and completing specific spending and payment requirements. Over the last several months, I have completed the requirements in the specified time period and have also received multiple confirmations from Citibank that I was both eligible for the promotion and that I would receive the promotional airline miles. 

The miles were confirmed to be credited to my XXXX XXXX account within a few days of my statement ending in XXXX. When I reached out to Citibank this week to ensure delivery of these miles, they disputed my eligibility. 

I have attached several pieces of correspondence with Citibank confirming I was eligible and would receive the promotional miles. 

Given I was told by Citibank that I was eligible and would receive these miles, I feel the marketing of this promotion was highly misleading. 

I would greatly appreciate the CFPB 's help in resolving this matter with Citibank. 

Thank you, XXXX XXXX",Checking or savings account or service,0,1
TIAA-XXXX  has not responded to multiple requests for their trustee-to-trustee transfer form while charging excessive administrative fees. Please provide the appropriate paperwork and clear with my former employer that the account can be transferred and closed. XXXX attempted to request the assets be sent to them but advised that TIAAs form must be completed to accomplish the transfer.,Checking or savings account or service,0,1
"I had opened a XXXX bank account back in XXXX using promo code XXXX. This promo code granted you XXXX thank you points after you make at least XXXX bill payment for two consecutive months within 60 days of opening your account. The bill payment has to be initiated from your online account at citi.com using their own bill payment system and it has to be an external bill. 

When i called citi to open the account i told the rep about my code, and he said it should not be a problem. He informed me it would be easier to fill out the application online. I did this, and submitted the code for the promo. Fast forward to XXXX, i have met the requirements, and confirmed with custer service chat rep ( see attached ) they inform me the points will post sometime in XXXX. I send a message to citi askign when my points will be deposited as it is now XXXX. They do an investigation, and tell me since i was not targeted for the offer i will not receive the points, even though a representative from their company told me i would. 

I have since been paying XXXX a month for this bank account, and they refuse to honor the promotion. I am seeking the XXXX Citi thank you points.",Checking or savings account or service,0,1
I opened a Wells Fargo checking account in 2012 and the account has no proof that it exist but I have paperwork saying something different,Checking or savings account or service,1,1
"I use  XXXX  which is a personal micro savings app. The service uses an app to study your back account and your spending habits to make micro withdrawals from your account for savings. The service also promises to cover overdraft fees if the app does n't do this properly or withdraws money that causes an overdraft. I am complaining because I am not being given the full overdraft reimbursement.       On Friday  XXXX   XXXX   XXXX  took  XXXX  withdrawals of {$62.00} and {$53.00}. I was not alerted to this fact and only found out because my bank sent me an alert.  XXXX  has never taken this much from my account in  one d ay before. I attempted to withdraw the money and was told by the app that it would not be available until Wednesday  XXXX   XXXX   XXXX  ). During this time I attempted to withdraw money from other  XXXX  savings to stop the overdraft fees, but it was not enough because I have set up pre planned payments that the app should be aware of. I immediately contacted   XXXX   on Friday  XXXX   XXXX   XXXX  ) and was told by the representative that the money would not be available until Wednesday  XXXX   XXXX   XXXX  ) and I also told her that because of this I will overdraft significantly. She responded that it was  XXXX  policy to cover overdraft fees and asked for screenshots.     Fast forward to this Tuesday when I now have  XXXX  NSF fees and after many emails to the rep I am told that   XXXX   is not responsible for the overdraft fees and that they will only be reimbursing me {$15.00}. I was upset because if that large amount had not been taken I would not be in this situation right now. My account would have been fully covered.     I asked to speak with management and was given the same spiel that   XXXX   was not the cause, but  XXXX  caused this snowball effect. It is supposed to be smart enough to know my bank account and given my time with the app it would be obvious that taking that much money in one day would not work for me. I feel as if this company is trying to find a simple loophole to avoid responsibility. My account would have been fully covered if the app would have taken the normal amount it usually does.     I feel like   XXXX   is not honoring their agreement. I have closed my account. I now have  XXXX  NSF fees and I was only able to access the money they took today (  XXXX   XXXX  ). The money wo n't post until tomorrow which will balloon this problem even further.",Checking or savings account or service,0,1
I went into td bank in XXXX time 2017 and they told me my accounts have been a risk even tho I never did anything risky and I wud have to call customer service to get my balance {$160.00} sent as a check and they locked my account.. I called customer next day service and they said only bank manager of my local bank can approve me taking out my money so I spoke with my bank manager of XXXX ny on XXXX XXXX her name is XXXX and she said only customer service can do it and she cant do anything they kept me going in circles and I needed that money to pay one of my credit cards I had from a XXXX XXXX XXXX when I tried to transfer it to my XXXX XXXX credit card money I owed it kept undoing it causing me to have {$200.00} dollar fees and bad credit late notice on my XXXX XXXX to my credit report. Not to mention td kept charging monthly fees even though I had no access to the money,Checking or savings account or service,0,1
"Hello, This email is in reference to the fraud department at Wells Fargo Bank committing fraud. I transferred {$4700.00} in funds from my WF savings to my WF checking account online with Wells Fargo on XX/XX/2016, which made my balance a total of {$4700.00}. I received word from WF asking if I made this transfer of funds. I confirmed the transfer was legitimate and I in fact made the transfer. I then wrote a check in the amount of {$3800.00}. When the check came through my checking account I received word from Wells Fargo Fraud Dept that there was a check that came through and asked if I wrote the check. I confirmed the check was legitimate and that I had written the check. I confirmed all security information once again. Even though I cleared their suspicions, the fraud department never lifted the hold on my checking account and then charged me {$35.00} in NSF charges. I called the bank to clear up the issue and asked that they refund the {$35.00} in NSF charges and clear the check. They assured me the hold was lifted and that they would refund me the NSF charges. They suggested the person I wrote the check to put the check back through my account, so they did so. Wells Fargo Fraud department still had a hold on my account AND charged me ANOTHER {$35.00} for NSF. I was unable to obtain my funds that I very much needed at the time! I do not have a WF branch in the state that I moved to but luckily I was on vacation and happened to stop by a WF branch to withdraw the money in person that I owed to the person that I wrote the check to previously -- had n't I done that I still would not be able to access my funds. I then called the WF Fraud department back today asking them to refund the XXXX NSF charges and was informed that I was only going to be refunded {$17.00} for one of them as a "" courtesy. '' They explained that when the check came through the transfer of the funds from my savings account to my checking account "" had n't yet cleared '' ( BECAUSE THEY HAD THE HOLD ON MY CHECKING ACCOUNT THINKING THE TRANSFER OF FUNDS FROM SAVINGS WAS FRAUDULANT ) and that was the reason for the NSF charge. I was never told this the 2 other times I called about the NSF charges, nor when I stopped by the branch -- they always agreed the charges were in error and agreed to credit my account. When you make a funds transfer from savings to checking, there is NO WHERE on the website that states the funds will not be available for any period of time. In fact, it states they are available immediately, as reflected in the balance. Today I transferred more funds from my savings to my checking account just to see if the system would state that the funds would take time to become available and it did not. The system stated that the funds were AVAILABLE under "" available balance. '' I will attach all proof. 
Thank you for any assistance that you can give me. 
XXXX",Checking or savings account or service,0,0
